house_id,amenity_id,amenity_name,description
1,14,Walk-in Closet,A spacious walk-in closet with plenty of storage for clothing and accessories.
1,10,Gym,A home gym equipped with various exercise machines and weights.
2,12,Smart Home Features,Smart home features including automated lighting and thermostats.
2,11,Security System,An advanced security system to keep your home safe and secure.
3,14,Walk-in Closet,A spacious walk-in closet with plenty of storage for clothing and accessories.
3,1,Swimming Pool,A luxurious swimming pool for relaxation and recreation.
3,5,Air Conditioning,Central air conditioning to keep the home cool during hot weather.
4,2,Garage,A spacious garage for secure vehicle parking and storage.
4,7,Basement,A large basement that can be used for storage or additional living space.
4,8,Solar Panels,Eco-friendly solar panels that help reduce energy costs.
4,1,Swimming Pool,A luxurious swimming pool for relaxation and recreation.
5,2,Garage,A spacious garage for secure vehicle parking and storage.
6,1,Swimming Pool,A luxurious swimming pool for relaxation and recreation.
7,11,Security System,An advanced security system to keep your home safe and secure.
8,13,Hardwood Floors,Elegant hardwood floors throughout the home.
8,10,Gym,A home gym equipped with various exercise machines and weights.
9,10,Gym,A home gym equipped with various exercise machines and weights.
9,2,Garage,A spacious garage for secure vehicle parking and storage.
9,1,Swimming Pool,A luxurious swimming pool for relaxation and recreation.
9,9,Home Office,A dedicated home office space for remote work or study.
10,2,Garage,A spacious garage for secure vehicle parking and storage.
10,12,Smart Home Features,Smart home features including automated lighting and thermostats.
11,4,Fireplace,A cozy fireplace to keep you warm during the winter months.
11,1,Swimming Pool,A luxurious swimming pool for relaxation and recreation.
11,14,Walk-in Closet,A spacious walk-in closet with plenty of storage for clothing and accessories.
12,13,Hardwood Floors,Elegant hardwood floors throughout the home.
12,15,Laundry Room,A convenient laundry room with washer and dryer.
13,6,Balcony,"A private balcony with a view, perfect for enjoying fresh air."
13,4,Fireplace,A cozy fireplace to keep you warm during the winter months.
13,9,Home Office,A dedicated home office space for remote work or study.
13,2,Garage,A spacious garage for secure vehicle parking and storage.
13,7,Basement,A large basement that can be used for storage or additional living space.
14,6,Balcony,"A private balcony with a view, perfect for enjoying fresh air."
14,7,Basement,A large basement that can be used for storage or additional living space.
14,11,Security System,An advanced security system to keep your home safe and secure.
14,13,Hardwood Floors,Elegant hardwood floors throughout the home.
14,8,Solar Panels,Eco-friendly solar panels that help reduce energy costs.
15,14,Walk-in Closet,A spacious walk-in closet with plenty of storage for clothing and accessories.
15,11,Security System,An advanced security system to keep your home safe and secure.
16,14,Walk-in Closet,A spacious walk-in closet with plenty of storage for clothing and accessories.
16,7,Basement,A large basement that can be used for storage or additional living space.
17,6,Balcony,"A private balcony with a view, perfect for enjoying fresh air."
17,15,Laundry Room,A convenient laundry room with washer and dryer.
17,5,Air Conditioning,Central air conditioning to keep the home cool during hot weather.
17,10,Gym,A home gym equipped with various exercise machines and weights.
17,14,Walk-in Closet,A spacious walk-in closet with plenty of storage for clothing and accessories.
18,5,Air Conditioning,Central air conditioning to keep the home cool during hot weather.
18,7,Basement,A large basement that can be used for storage or additional living space.
18,9,Home Office,A dedicated home office space for remote work or study.
18,3,Garden,"A beautiful garden area with plants, flowers, and outdoor seating."
19,10,Gym,A home gym equipped with various exercise machines and weights.
19,9,Home Office,A dedicated home office space for remote work or study.
20,6,Balcony,"A private balcony with a view, perfect for enjoying fresh air."
20,14,Walk-in Closet,A spacious walk-in closet with plenty of storage for clothing and accessories.
21,14,Walk-in Closet,A spacious walk-in closet with plenty of storage for clothing and accessories.
21,11,Security System,An advanced security system to keep your home safe and secure.
21,8,Solar Panels,Eco-friendly solar panels that help reduce energy costs.
22,3,Garden,"A beautiful garden area with plants, flowers, and outdoor seating."
23,8,Solar Panels,Eco-friendly solar panels that help reduce energy costs.
23,6,Balcony,"A private balcony with a view, perfect for enjoying fresh air."
23,11,Security System,An advanced security system to keep your home safe and secure.
23,12,Smart Home Features,Smart home features including automated lighting and thermostats.
23,14,Walk-in Closet,A spacious walk-in closet with plenty of storage for clothing and accessories.
24,2,Garage,A spacious garage for secure vehicle parking and storage.
25,5,Air Conditioning,Central air conditioning to keep the home cool during hot weather.
25,8,Solar Panels,Eco-friendly solar panels that help reduce energy costs.
25,10,Gym,A home gym equipped with various exercise machines and weights.
26,8,Solar Panels,Eco-friendly solar panels that help reduce energy costs.
27,13,Hardwood Floors,Elegant hardwood floors throughout the home.
27,5,Air Conditioning,Central air conditioning to keep the home cool during hot weather.
27,15,Laundry Room,A convenient laundry room with washer and dryer.
27,4,Fireplace,A cozy fireplace to keep you warm during the winter months.
28,14,Walk-in Closet,A spacious walk-in closet with plenty of storage for clothing and accessories.
28,2,Garage,A spacious garage for secure vehicle parking and storage.
28,9,Home Office,A dedicated home office space for remote work or study.
28,1,Swimming Pool,A luxurious swimming pool for relaxation and recreation.
28,5,Air Conditioning,Central air conditioning to keep the home cool during hot weather.
29,6,Balcony,"A private balcony with a view, perfect for enjoying fresh air."
29,11,Security System,An advanced security system to keep your home safe and secure.
30,8,Solar Panels,Eco-friendly solar panels that help reduce energy costs.
30,12,Smart Home Features,Smart home features including automated lighting and thermostats.
30,10,Gym,A home gym equipped with various exercise machines and weights.
30,13,Hardwood Floors,Elegant hardwood floors throughout the home.
30,11,Security System,An advanced security system to keep your home safe and secure.
31,1,Swimming Pool,A luxurious swimming pool for relaxation and recreation.
31,5,Air Conditioning,Central air conditioning to keep the home cool during hot weather.
32,8,Solar Panels,Eco-friendly solar panels that help reduce energy costs.
32,6,Balcony,"A private balcony with a view, perfect for enjoying fresh air."
33,4,Fireplace,A cozy fireplace to keep you warm during the winter months.
34,12,Smart Home Features,Smart home features including automated lighting and thermostats.
35,7,Basement,A large basement that can be used for storage or additional living space.
35,15,Laundry Room,A convenient laundry room with washer and dryer.
36,2,Garage,A spacious garage for secure vehicle parking and storage.
37,11,Security System,An advanced security system to keep your home safe and secure.
37,13,Hardwood Floors,Elegant hardwood floors throughout the home.
37,6,Balcony,"A private balcony with a view, perfect for enjoying fresh air."
38,4,Fireplace,A cozy fireplace to keep you warm during the winter months.
38,6,Balcony,"A private balcony with a view, perfect for enjoying fresh air."
38,5,Air Conditioning,Central air conditioning to keep the home cool during hot weather.
39,9,Home Office,A dedicated home office space for remote work or study.
39,5,Air Conditioning,Central air conditioning to keep the home cool during hot weather.
40,11,Security System,An advanced security system to keep your home safe and secure.
