trend_id,house_id,date_recorded,price,trend_description
1,566,2023-03-01,190771.56,higher than 3 months ago by $41501.18 (27.8%)
2,23,2023-03-01,893153.23,lower than 3 months ago by $15729.68 (1.73%)
3,194,2023-03-01,526560.76,lower than last quarter by $46556.77 (8.12%)
4,702,2023-03-01,961117.4,lower than last quarter by $31882.86 (3.21%)
5,161,2023-03-01,215961.92,same than 2 months ago
6,876,2023-03-01,929180.7,same than last year
7,553,2023-03-01,244091.87,higher than a year ago by $47718.12 (24.3%)
8,675,2023-03-01,581038.72,higher than 2 months ago by $32999.09 (6.02%)
9,279,2023-03-01,722716.78,lower than last quarter by $38321.92 (5.04%)
10,109,2023-03-01,402251.74,lower than 2 months ago by $49783.96 (11.01%)
11,548,2023-03-02,543162.31,higher than 6 months ago by $49445.86 (10.02%)
12,630,2023-03-02,165479.83,lower than last year by $46840.24 (22.06%)
13,20,2023-03-02,411038.12,same than 3 months ago
14,269,2023-03-02,307231.76,higher than 6 months ago by $40712.96 (15.28%)
15,219,2023-03-02,591373.24,same than last month
16,859,2023-03-02,619533.33,higher than 6 months ago by $19189.45 (3.2%)
17,114,2023-03-02,269980.59,higher than last year by $43514.67 (19.21%)
18,309,2023-03-02,460894.8,same than 3 months ago
19,406,2023-03-02,276903.45,same than last quarter
20,796,2023-03-02,859707.48,higher than 6 months ago by $45162.76 (5.54%)
21,548,2023-03-03,844239.12,higher than 6 months ago by $48171.73 (6.05%)
22,909,2023-03-03,141630.9,higher than last month by $25600.48 (22.06%)
23,677,2023-03-03,256564.8,same than a year ago
24,122,2023-03-03,886421.77,same than 3 months ago
25,626,2023-03-03,987186.35,lower than last quarter by $20577.08 (2.04%)
26,52,2023-03-03,368738.98,higher than 6 months ago by $16027.9 (4.54%)
27,97,2023-03-03,175366.9,lower than last quarter by $11448.33 (6.13%)
28,911,2023-03-03,914559.77,same than 3 months ago
29,767,2023-03-03,559886.29,higher than 3 months ago by $11826.92 (2.16%)
30,607,2023-03-04,722001.01,same than 3 months ago
31,491,2023-03-04,538155.07,same than 2 months ago
32,484,2023-03-04,789375.33,higher than 3 months ago by $10654.74 (1.37%)
33,653,2023-03-04,350009.61,lower than 6 months ago by $40389.27 (10.35%)
34,398,2023-03-04,935482.35,same than last month
35,363,2023-03-04,201924.31,higher than last month by $38366.17 (23.46%)
36,659,2023-03-04,751556.28,higher than 2 months ago by $28427.49 (3.93%)
37,60,2023-03-04,362496.58,same than last quarter
38,636,2023-03-04,425149.83,lower than 3 months ago by $15209.74 (3.45%)
39,60,2023-03-04,887894.89,higher than last year by $42744.84 (5.06%)
40,283,2023-03-05,712443.44,higher than last month by $46569.33 (6.99%)
41,281,2023-03-05,396359.7,lower than 2 months ago by $36005.13 (8.33%)
42,625,2023-03-05,886139.22,same than last quarter
43,881,2023-03-05,126744.98,higher than 3 months ago by $32592.97 (34.62%)
44,409,2023-03-05,636416.05,higher than 3 months ago by $30806.19 (5.09%)
45,926,2023-03-05,971192.41,higher than 2 months ago by $20746.03 (2.18%)
46,869,2023-03-05,357123.02,higher than last month by $47590.18 (15.37%)
47,850,2023-03-05,663001.19,higher than a year ago by $15840.02 (2.45%)
48,506,2023-03-05,866610.17,higher than 3 months ago by $12976.77 (1.52%)
49,847,2023-03-05,225453.78,same than 6 months ago
50,707,2023-03-06,902772.55,same than 3 months ago
51,934,2023-03-06,288440.48,higher than last quarter by $42755.09 (17.4%)
52,928,2023-03-06,224556.24,lower than 6 months ago by $14022.54 (5.88%)
53,565,2023-03-06,610750.6,higher than 2 months ago by $11296.24 (1.88%)
54,687,2023-03-06,552213.8,higher than 2 months ago by $21468.27 (4.04%)
55,314,2023-03-06,621355.53,same than 6 months ago
56,695,2023-03-06,561004.43,lower than last month by $7637.26 (1.34%)
57,994,2023-03-06,142636.4,higher than last quarter by $26184.88 (22.49%)
58,41,2023-03-06,726010.3,same than last year
59,934,2023-03-07,954470.74,lower than last year by $15844.37 (1.63%)
60,704,2023-03-07,901426.18,higher than last month by $48989.08 (5.75%)
61,808,2023-03-07,930371.84,same than a year ago
62,30,2023-03-07,718024.83,higher than a year ago by $33883.05 (4.95%)
63,633,2023-03-07,166925.24,same than a year ago
64,390,2023-03-07,476120.74,lower than last month by $20243.1 (4.08%)
65,831,2023-03-07,254987.65,same than 6 months ago
66,128,2023-03-07,340138.48,same than a year ago
67,720,2023-03-07,528882.29,same than 3 months ago
68,16,2023-03-07,182602.95,higher than last month by $12036.17 (7.06%)
69,466,2023-03-08,832377.38,higher than 2 months ago by $48807.39 (6.23%)
70,891,2023-03-08,369649.34,same than 3 months ago
71,336,2023-03-08,255264.16,higher than 6 months ago by $48481.08 (23.45%)
72,300,2023-03-08,533139.28,higher than 2 months ago by $26504.33 (5.23%)
73,193,2023-03-08,368135.81,lower than last quarter by $30328.11 (7.61%)
74,530,2023-03-08,190687.07,same than last year
75,942,2023-03-08,995478.88,same than 2 months ago
76,291,2023-03-08,473396.1,same than 6 months ago
77,984,2023-03-08,345076.75,lower than last month by $31835.96 (8.45%)
78,358,2023-03-08,254371.44,same than last year
79,427,2023-03-09,718756.34,lower than last year by $35112.56 (4.66%)
80,445,2023-03-09,152544.69,same than 6 months ago
81,979,2023-03-09,321069.03,same than 3 months ago
82,126,2023-03-09,741862.29,lower than last quarter by $43748.29 (5.57%)
83,790,2023-03-09,985804.98,lower than last year by $31571.58 (3.1%)
84,396,2023-03-09,498910.24,higher than last month by $10567.97 (2.16%)
85,267,2023-03-09,298250.69,higher than last quarter by $48022.06 (19.19%)
86,756,2023-03-09,570651.05,same than 2 months ago
87,655,2023-03-09,609405.27,higher than last month by $43347.51 (7.66%)
88,293,2023-03-10,420268.04,same than last quarter
89,337,2023-03-10,790406.04,higher than last month by $26710.75 (3.5%)
90,243,2023-03-10,516046.18,same than last quarter
91,911,2023-03-10,973573.99,same than last month
92,244,2023-03-10,808645.81,higher than 2 months ago by $19425.65 (2.46%)
93,271,2023-03-10,873537.5,higher than last month by $41683.37 (5.01%)
94,705,2023-03-10,506669.95,higher than last month by $18511.55 (3.79%)
95,96,2023-03-10,943089.01,same than last month
96,246,2023-03-10,326846.07,lower than a year ago by $39006.15 (10.66%)
97,698,2023-03-10,765640.95,higher than 6 months ago by $12507.39 (1.66%)
98,951,2023-03-11,649505.31,higher than last month by $30494.38 (4.93%)
99,609,2023-03-11,293817.85,lower than 6 months ago by $45854.4 (13.5%)
100,147,2023-03-11,847000.17,lower than last month by $11052.59 (1.29%)
101,990,2023-03-11,704031.21,higher than last quarter by $35703.17 (5.34%)
102,197,2023-03-11,805880.73,higher than a year ago by $9059.16 (1.14%)
103,157,2023-03-11,205334.93,same than last month
104,905,2023-03-11,468280.91,higher than 3 months ago by $19196.54 (4.27%)
105,578,2023-03-11,967891.46,lower than a year ago by $41721.91 (4.13%)
106,380,2023-03-11,579701.54,lower than 2 months ago by $35019.77 (5.7%)
107,275,2023-03-11,660286.87,same than last quarter
108,564,2023-03-12,994276.38,lower than last year by $36947.06 (3.58%)
109,74,2023-03-12,435331.3,same than last quarter
110,44,2023-03-12,669662.06,higher than 6 months ago by $45872.32 (7.35%)
111,42,2023-03-12,511184.65,same than 2 months ago
112,777,2023-03-12,843033.79,same than 6 months ago
113,390,2023-03-12,537294.5,higher than last year by $12036.33 (2.29%)
114,913,2023-03-12,314659.99,lower than last year by $7693.92 (2.39%)
115,107,2023-03-12,243981.29,same than 2 months ago
116,202,2023-03-12,746432.17,higher than 2 months ago by $28367.15 (3.95%)
117,270,2023-03-13,656193.94,lower than last quarter by $37844.41 (5.45%)
118,592,2023-03-13,775452.91,same than 3 months ago
119,396,2023-03-13,848432.51,higher than a year ago by $31508.54 (3.86%)
120,135,2023-03-13,283207.55,lower than last quarter by $16136.13 (5.39%)
121,439,2023-03-13,237123.18,lower than 2 months ago by $7170.3 (2.94%)
122,1000,2023-03-13,792143.24,lower than 6 months ago by $32552.69 (3.95%)
123,136,2023-03-13,935970.1,higher than last year by $36399.06 (4.05%)
124,668,2023-03-13,428747.64,higher than last year by $42610.16 (11.03%)
125,927,2023-03-13,681310.95,same than a year ago
126,261,2023-03-13,830150.82,lower than last year by $35555.62 (4.11%)
127,819,2023-03-14,689513.82,lower than last year by $9132.4 (1.31%)
128,327,2023-03-14,884326.48,higher than 2 months ago by $35645.88 (4.2%)
129,139,2023-03-14,350717.54,lower than 6 months ago by $48471.65 (12.14%)
130,214,2023-03-14,881152.17,same than last year
131,493,2023-03-14,201389.62,same than 6 months ago
132,664,2023-03-14,671733.49,same than a year ago
133,24,2023-03-14,818185.02,same than 2 months ago
134,172,2023-03-14,608944.11,lower than last quarter by $20683.55 (3.29%)
135,676,2023-03-14,192993.93,higher than a year ago by $37395.4 (24.03%)
136,980,2023-03-14,746469.1,same than 6 months ago
137,645,2023-03-15,194944.08,higher than last year by $12989.14 (7.14%)
138,2,2023-03-15,527739.75,higher than 6 months ago by $7557.45 (1.45%)
139,208,2023-03-15,576106.95,same than 2 months ago
140,92,2023-03-15,922073.61,higher than 2 months ago by $16455.75 (1.82%)
141,353,2023-03-15,834522.0,same than 6 months ago
142,405,2023-03-15,760905.17,lower than a year ago by $19234.68 (2.47%)
143,250,2023-03-15,910055.38,higher than last month by $28534.32 (3.24%)
144,353,2023-03-15,639045.67,lower than last month by $45688.74 (6.67%)
