profit_id,transaction_id,net_profit,profit_date
2767,2767,10,6/3/2023
2781,2781,12.8,6/23/2023
2408,2408,15.6,4/12/2024
541,541,18.4,4/6/2023
627,627,21.2,8/19/2023
1748,1748,24,1/11/2024
223,223,26.8,5/29/2024
4559,4559,29.6,9/25/2023
4519,4519,32.4,2/8/2024
350,350,35.2,10/2/2022
3799,3799,38,9/10/2022
4129,4129,40.8,7/25/2023
303,303,43.6,5/18/2023
2260,2260,46.4,5/5/2023
1065,1065,49.2,3/19/2024
230,230,52,3/12/2023
3774,3774,54.8,7/3/2024
2436,2436,57.6,6/4/2023
685,685,60.4,2/4/2024
4778,4778,63.2,2/28/2024
148,148,66,4/15/2024
3901,3901,68.8,10/14/2022
2088,2088,71.6,1/5/2024
640,640,74.4,7/31/2023
1523,1523,77.2,12/31/2023
4783,4783,80,7/24/2024
3291,3291,82.8,3/17/2024
1258,1258,85.6,6/19/2024
470,470,88.4,4/17/2023
3198,3198,91.2,6/17/2024
1379,1379,93.9999999999999,5/6/2023
4352,4352,96.7999999999999,3/18/2024
666,666,99.5999999999999,6/26/2023
4589,4589,102.4,4/15/2023
3227,3227,105.2,4/17/2024
1280,1280,108,9/30/2022
1186,1186,110.8,9/26/2023
3861,3861,113.6,12/24/2022
144,144,116.4,11/25/2022
1442,1442,119.2,12/31/2022
4536,4536,122,3/24/2024
438,438,124.8,4/27/2024
3257,3257,127.6,7/6/2024
2699,2699,130.4,5/17/2023
1927,1927,133.2,3/25/2024
3666,3666,136,6/9/2024
2074,2074,138.8,10/1/2023
1822,1822,141.6,3/28/2024
118,118,144.4,2/28/2023
2573,2573,147.2,2/11/2024
450,450,150,5/12/2023
4098,4098,152.8,6/8/2024
3771,3771,155.6,4/6/2023
2771,2771,158.4,12/23/2023
3639,3639,161.2,11/5/2023
1378,1378,164,12/13/2022
3335,3335,166.8,4/16/2024
3326,3326,169.6,5/15/2024
1220,1220,172.4,11/27/2022
3141,3141,175.2,3/11/2023
3955,3955,178,11/27/2022
485,485,180.8,8/16/2022
2681,2681,183.6,2/22/2024
3277,3277,186.4,5/5/2024
511,511,189.2,1/6/2023
137,137,192,7/20/2024
3985,3985,194.8,7/12/2023
3948,3948,197.6,5/26/2024
626,626,200.4,6/23/2024
3068,3068,203.2,7/4/2024
1035,1035,206,9/3/2023
3328,3328,208.8,5/6/2023
1352,1352,211.6,1/31/2024
2936,2936,214.4,10/10/2022
4407,4407,217.2,9/21/2023
3945,3945,220,4/12/2024
2815,2815,222.8,7/26/2023
2620,2620,225.6,7/23/2024
1518,1518,228.4,6/7/2024
29,29,231.2,9/3/2022
4818,4818,234,6/11/2023
1547,1547,236.8,12/30/2022
80,80,239.6,12/29/2022
3518,3518,242.4,12/14/2023
4996,4996,245.2,12/3/2022
4220,4220,248,5/14/2023
272,272,250.8,4/13/2024
3376,3376,253.6,3/20/2024
444,444,256.4,2/9/2023
1380,1380,259.2,3/29/2024
1393,1393,262,4/15/2023
2097,2097,264.8,10/22/2023
3399,3399,267.600000000001,3/7/2023
3005,3005,270.400000000001,10/28/2022
1417,1417,273.200000000001,7/6/2024
236,236,276.000000000001,5/31/2023
873,873,278.800000000001,10/24/2023
1018,1018,281.600000000001,11/25/2022
757,757,284.400000000001,11/23/2023
