sale_id,transaction_id,listing_price,sale_price,sale_date
1,1,8682.94,6848.47,2023-10-04
2,2,10254221.83,8322515.63,2022-12-17
3,3,1188.09,1057.74,2024-07-31
4,4,9431.49,8170.43,2023-10-28
5,5,13720286.4,12952248.89,2024-05-11
6,6,10962342.52,10413472.23,2024-01-24
7,7,11505945.02,9578759.21,2022-10-25
8,8,13939944.19,10792560.51,2023-05-16
9,9,10639559.41,9270850.96,2023-02-23
10,10,2347.15,2031.48,2022-11-22
11,11,19397759.22,16629841.05,2024-02-23
12,12,6664.99,5211.25,2024-01-28
13,13,1717134.94,1448845.74,2022-12-15
14,14,13084464.97,11789286.46,2023-10-22
15,15,2697.3,2144.34,2024-01-08
16,16,8395.98,7486.76,2024-04-06
17,17,19920016.93,19905288.73,2023-09-13
18,18,9091.25,7043.83,2023-01-10
19,19,8103337.07,6460743.93,2024-02-27
20,20,7119.95,7047.58,2024-05-06
21,21,5461.34,4214.81,2024-07-16
22,22,7990.51,6353.61,2023-08-01
23,23,8356.19,8191.44,2023-03-06
24,24,16394867.66,16309037.73,2023-02-18
25,25,12649114.06,11315010.63,2023-09-12
26,26,2647210.59,2290278.41,2024-05-11
27,27,14238212.0,12219916.32,2022-11-18
28,28,3932.12,3502.12,2024-07-02
29,29,7575.15,6664.63,2022-09-03
30,30,10661.28,9986.72,2023-10-03
31,31,1313754.98,1251998.75,2022-10-07
32,32,1844504.14,1521750.75,2023-01-02
33,33,6001.56,5797.12,2023-01-04
34,34,5853.11,5144.09,2023-12-17
35,35,3196.99,3134.8,2022-08-22
36,36,23971654.97,18924355.64,2024-01-30
37,37,6090036.64,5427591.03,2022-08-10
38,38,1372.86,1079.19,2024-06-21
39,39,20758455.83,17033838.74,2023-01-02
40,40,16240877.18,15458883.09,2022-11-19
41,41,8544.52,7728.42,2023-04-24
42,42,2685.12,2360.79,2023-03-27
43,43,18625889.38,15897692.78,2024-08-02
44,44,3944.34,3078.64,2024-03-19
45,45,22069273.0,17958867.38,2023-04-11
46,46,8640923.64,8434075.92,2024-06-07
47,47,5833.07,4533.05,2023-02-14
48,48,19225593.43,15438446.7,2023-04-22
49,49,10460378.98,9057290.41,2022-09-29
50,50,10006970.91,9799651.72,2023-12-14
51,51,6303.16,5214.25,2023-01-13
52,52,6990328.48,6743330.6,2022-09-28
53,53,8936.3,8597.07,2024-06-11
54,54,8637.94,7040.81,2023-02-22
55,55,4913.67,3976.18,2024-06-14
56,56,14676244.74,13499838.19,2023-04-13
57,57,8856470.02,8181534.84,2023-07-02
58,58,2288.74,1874.53,2022-12-12
59,59,11064.36,9373.79,2022-12-16
60,60,12592434.95,9953722.12,2022-08-27
61,61,12420048.69,10321132.16,2023-05-06
62,62,7858716.11,7264125.6,2023-12-13
63,63,2589.85,2587.33,2024-07-19
64,64,4661937.69,4315766.84,2023-09-23
65,65,10880.6,9139.29,2023-08-21
66,66,13723177.01,11406658.5,2024-02-06
67,67,20734219.58,16937376.47,2022-09-28
68,68,22324592.02,18409358.44,2024-06-12
69,69,11986231.5,10304829.56,2022-09-03
70,70,8194.09,7353.74,2024-04-09
71,71,2246.42,1760.1,2023-10-10
72,72,11812.02,9763.19,2023-06-11
73,73,21221312.91,18032896.76,2022-11-23
74,74,4284.99,4243.13,2024-01-17
75,75,8749.86,7448.57,2023-08-27
76,76,7128566.58,6259089.19,2023-05-13
77,77,22241841.72,19029340.22,2022-08-25
78,78,20513433.36,15877468.43,2023-12-10
79,79,5165.85,4651.47,2022-08-14
80,80,2501.13,2366.72,2022-12-29
81,81,1324.2,1141.24,2022-12-02
82,82,25033446.85,19651172.81,2023-11-06
83,83,11749171.75,10618263.06,2024-01-02
84,84,10743004.65,9202750.98,2022-09-08
85,85,8332.71,6974.79,2024-04-23
86,86,9319628.87,7587144.9,2023-05-01
87,87,9959745.91,7939743.56,2023-08-13
88,88,19273228.17,14852943.1,2023-07-31
89,89,8113.4,6710.0,2023-08-08
90,90,3364.15,2909.62,2023-03-05
91,91,2790.83,2582.6,2023-07-10
92,92,1504.59,1355.5,2023-07-04
93,93,24266699.64,19143418.57,2024-02-11
94,94,7343.77,6602.79,2022-08-23
95,95,8816.88,7078.35,2023-07-21
96,96,8422.44,6951.0,2024-02-06
97,97,13049574.0,12356887.48,2022-11-24
98,98,19968493.55,19219301.58,2023-07-24
99,99,10438.78,8781.74,2024-01-25
100,100,3137.2,2892.89,2024-04-02
101,101,5990.59,5328.67,2023-12-30
102,102,9376766.19,9362632.59,2023-02-07
103,103,16477619.97,16046028.47,2023-03-23
104,104,17986921.28,15169951.78,2022-08-29
105,105,16174761.38,13305597.68,2023-01-05
106,106,20582578.2,17006757.12,2023-07-16
107,107,19485312.51,15560839.03,2023-08-03
108,108,14000519.68,10889084.29,2023-05-22
109,109,9043679.65,7589068.97,2024-05-23
110,110,1978.42,1588.8,2023-01-01
111,111,10371.07,8464.39,2022-09-26
112,112,17730342.43,14207112.0,2023-12-04
113,113,2629.64,2154.97,2023-11-09
114,114,10061.26,8996.76,2023-03-18
115,115,21280365.57,16889999.92,2024-07-27
116,116,21173312.03,17011105.1,2023-08-15
117,117,8227034.32,8143615.35,2022-12-03
118,118,3970.9,3605.82,2023-02-28
119,119,19340516.87,16867470.31,2023-06-15
120,120,8699.13,7844.65,2023-10-12
121,121,9468237.99,7997689.28,2024-05-07
122,122,9777.55,7856.15,2023-06-28
123,123,10995647.21,9252196.52,2023-06-01
124,124,6656189.92,5870254.78,2024-04-17
125,125,926.18,803.64,2022-12-12
126,126,20677837.25,16025333.11,2023-06-27
127,127,7899708.63,6217227.11,2024-01-30
128,128,3472.64,2700.6,2024-06-12
129,129,24098358.91,19686877.08,2023-10-13
130,130,9119.48,8983.92,2024-03-04
131,131,3535.12,3348.88,2022-11-09
132,132,18367799.65,14642375.34,2024-06-14
133,133,7873772.52,6204098.64,2024-05-04
134,134,11692321.53,9404864.28,2023-10-21
135,135,22087165.79,17102659.24,2023-07-09
136,136,17849791.86,13850725.85,2022-10-10
137,137,5830.02,4753.82,2024-07-20
138,138,4516.06,3729.09,2024-06-01
139,139,5092.29,4200.44,2023-01-07
140,140,9787.94,8219.17,2023-03-15
141,141,19522515.75,17414151.35,2022-12-18
142,142,18121478.51,14784769.48,2022-09-26
143,143,17084445.2,14290139.1,2023-12-11
144,144,4027.32,3419.87,2022-11-25
145,145,1536.68,1349.16,2024-07-29
146,146,1585.32,1486.57,2024-04-28
147,147,8577862.6,7554915.48,2023-01-13
148,148,8352.99,7433.86,2024-04-15
149,149,3953.46,3268.01,2024-05-05
150,150,1985120.38,1695225.05,2023-12-24
151,151,18087491.57,16222462.43,2024-03-12
152,152,7427528.72,6933805.35,2023-06-16
153,153,10251.54,9922.75,2022-08-27
154,154,8552.49,7348.45,2023-07-30
155,155,2671.9,2662.2,2024-02-15
156,156,19641385.81,18624493.32,2023-07-08
157,157,21007593.87,16860455.1,2023-03-02
158,158,4339.32,3859.99,2022-11-05
159,159,3496.24,2775.21,2024-04-29
160,160,19317342.01,18737152.7,2023-07-30
161,161,17194155.32,13525311.63,2024-01-20
162,162,19059911.27,15861518.0,2023-02-15
163,163,4024981.2,3270395.21,2023-11-10
164,164,1760.2,1444.08,2023-05-11
165,165,16949394.67,13907899.86,2023-07-06
166,166,6907.26,5675.6,2022-09-20
167,167,16535148.2,14800102.62,2023-09-14
168,168,25006933.44,19295967.8,2023-11-08
169,169,1865.23,1757.55,2023-08-15
170,170,6062816.04,5482610.68,2023-07-06
171,171,12878084.3,11558334.1,2023-10-01
172,172,2044942.56,1717492.71,2022-10-18
173,173,5484453.74,4221388.54,2024-06-09
174,174,23946270.85,18451665.87,2022-08-20
175,175,5915362.89,4618286.34,2024-07-03
176,176,4561.75,4353.08,2023-10-04
177,177,10345.84,8116.54,2023-03-25
178,178,8483.96,6976.02,2023-07-29
179,179,5074.04,4078.86,2024-01-27
180,180,1707.55,1515.78,2022-10-24
181,181,8650972.46,7470858.0,2023-06-14
182,182,9421.85,7750.55,2022-09-19
183,183,5786037.08,4575275.66,2023-02-24
184,184,1948.31,1797.08,2022-12-21
185,185,13531660.21,13018872.73,2023-01-29
186,186,8950700.3,7415913.7,2024-04-01
187,187,3180.48,3095.45,2024-06-24
188,188,15997246.54,13849182.75,2023-03-10
189,189,6416.64,6203.64,2023-08-12
190,190,17379617.51,13853986.1,2022-09-09
191,191,4915572.79,4021535.93,2023-10-26
192,192,2964.81,2284.55,2023-06-17
193,193,23277054.83,18078565.14,2022-09-09
194,194,11838.84,9600.79,2022-10-28
195,195,2988321.09,2852252.31,2023-04-27
196,196,10851.33,9747.22,2023-04-03
197,197,2164.43,1693.79,2022-11-09
198,198,1029.37,914.12,2023-06-12
199,199,9428730.38,8274277.61,2022-10-23
200,200,6294.39,5169.28,2022-10-20
201,201,3136.49,2480.98,2024-03-29
202,202,9397.81,8808.02,2023-06-01
203,203,3622.42,3306.41,2024-02-28
204,204,10905655.99,9439577.93,2022-12-15
205,205,4976.47,4100.03,2023-11-29
206,206,20228968.93,19092058.12,2024-06-13
207,207,12724454.39,10902915.85,2023-12-14
208,208,8207.62,7848.55,2023-07-23
209,209,14480842.25,11831532.13,2023-03-24
210,210,6823444.38,5889073.78,2023-10-17
211,211,4543.81,3913.45,2022-10-19
212,212,10093.64,8020.95,2024-03-01
213,213,1529.36,1525.73,2022-11-05
