transaction_id,employee_id,transaction_type,transaction_date,amount,house_id,client_id
1,7,Lease,2023-10-04,6848.47,355,209
2,12,Sale,2022-12-17,8322515.63,202,1257
3,36,Lease,2024-07-31,1057.74,154,2173
4,4,Lease,2023-10-28,8170.43,745,1136
5,46,Sale,2024-05-11,12952248.89,199,2987
6,27,Sale,2024-01-24,10413472.23,740,2330
7,20,Sale,2022-10-25,9578759.21,758,1078
8,46,Sale,2023-05-16,10792560.51,358,795
9,29,Sale,2023-02-23,9270850.96,542,2756
10,7,Lease,2022-11-22,2031.48,242,2130
11,24,Sale,2024-02-23,16629841.05,371,220
12,33,Lease,2024-01-28,5211.25,248,212
13,22,Sale,2022-12-15,1448845.74,317,698
14,12,Sale,2023-10-22,11789286.46,207,1877
15,11,Lease,2024-01-08,2144.34,386,1986
16,24,Lease,2024-04-06,7486.76,346,2623
17,25,Sale,2023-09-13,19905288.73,350,527
18,11,Lease,2023-01-10,7043.83,322,1458
19,20,Sale,2024-02-27,6460743.93,76,204
20,8,Lease,2024-05-06,7047.58,734,433
21,48,Lease,2024-07-16,4214.81,579,1591
22,31,Lease,2023-08-01,6353.61,146,2982
23,9,Lease,2023-03-06,8191.44,33,909
24,19,Sale,2023-02-18,16309037.73,435,314
25,30,Sale,2023-09-12,11315010.63,379,1207
26,41,Sale,2024-05-11,2290278.41,162,236
27,36,Sale,2022-11-18,12219916.32,781,1305
28,13,Lease,2024-07-02,3502.12,145,1303
29,44,Lease,2022-09-03,6664.63,986,2892
30,45,Lease,2023-10-03,9986.72,299,2368
31,19,Sale,2022-10-07,1251998.75,434,259
32,27,Sale,2023-01-02,1521750.75,490,12
33,32,Lease,2023-01-04,5797.12,121,388
34,20,Lease,2023-12-17,5144.09,825,1287
35,7,Lease,2022-08-22,3134.8,618,643
36,37,Sale,2024-01-30,18924355.64,595,1379
37,41,Sale,2022-08-10,5427591.03,62,1130
38,34,Lease,2024-06-21,1079.19,946,1784
39,41,Sale,2023-01-02,17033838.74,892,2687
40,13,Sale,2022-11-19,15458883.09,717,1752
41,5,Lease,2023-04-24,7728.42,740,2035
42,22,Lease,2023-03-27,2360.79,164,1891
43,42,Sale,2024-08-02,15897692.78,312,2769
44,4,Lease,2024-03-19,3078.64,3,46
45,21,Sale,2023-04-11,17958867.38,733,1087
46,24,Sale,2024-06-07,8434075.92,143,2799
47,3,Lease,2023-02-14,4533.05,132,1227
48,7,Sale,2023-04-22,15438446.7,651,823
49,37,Sale,2022-09-29,9057290.41,919,2427
50,44,Sale,2023-12-14,9799651.72,552,2022
51,21,Lease,2023-01-13,5214.25,63,1453
52,26,Sale,2022-09-28,6743330.6,419,748
53,49,Lease,2024-06-11,8597.07,196,1685
54,16,Lease,2023-02-22,7040.81,790,1974
55,23,Lease,2024-06-14,3976.18,550,1245
56,8,Sale,2023-04-13,13499838.19,985,329
57,42,Sale,2023-07-02,8181534.84,466,1810
58,38,Lease,2022-12-12,1874.53,35,2080
59,23,Lease,2022-12-16,9373.79,936,2599
60,16,Sale,2022-08-27,9953722.12,915,43
61,36,Sale,2023-05-06,10321132.16,92,2403
62,14,Sale,2023-12-13,7264125.6,56,1240
63,35,Lease,2024-07-19,2587.33,598,804
64,35,Sale,2023-09-23,4315766.84,347,1254
65,1,Lease,2023-08-21,9139.29,405,1652
66,16,Sale,2024-02-06,11406658.5,229,833
67,28,Sale,2022-09-28,16937376.47,429,59
68,43,Sale,2024-06-12,18409358.44,341,512
69,29,Sale,2022-09-03,10304829.56,904,60
70,45,Lease,2024-04-09,7353.74,665,1219
71,20,Lease,2023-10-10,1760.1,972,401
72,17,Lease,2023-06-11,9763.19,39,1481
73,44,Sale,2022-11-23,18032896.76,495,2130
74,23,Lease,2024-01-17,4243.13,964,2056
75,15,Lease,2023-08-27,7448.57,642,2865
76,29,Sale,2023-05-13,6259089.19,252,2377
